amp_map_pct,peak_mean_pct,peak_max_pct,peak_neartip_pct,dns,dns_err,dns_status,n_cross,rec,strategy,rep,n,t_fit,ell,k1,f_free,g,rank
63.604851301349186,95.06098391944789,1520.02558763504,502.24044258761245,,,no_null,0,gp,equispaced,0,3,0.001142169000559079,1.5,,,,
22.490842653831027,35.72906496069618,388.40479940530554,95.03096018439388,,,no_null,0,gp_oracle,equispaced,0,3,0.001142169000559079,30.0,,,,
36.100731902101394,31.24508634629305,402.6576616445207,80.3630127048999,253.00235133701497,28.913394108181507,at_or_beyond_end,0,gp,equispaced,0,4,0.0009673000004113419,8.0,,,,
9.82628952096656,20.221575897121888,384.30551670880607,91.28481955071348,,,no_null,0,gp_oracle,equispaced,0,4,0.0009673000004113419,15.0,,,,
6.82399396540497,17.12800574157429,395.4156737716718,91.58627271139967,219.5380375854922,4.550919643341274,crossed,1,gp,equispaced,0,5,0.0010541890005697496,15.0,,,,
6.82399396540497,17.12800574157429,395.4156737716718,91.58627271139967,219.5380375854922,4.550919643341274,crossed,1,gp_oracle,equispaced,0,5,0.0010541890005697496,15.0,,,,
5.695987187752927,15.483461986516417,416.47769528247755,92.14482338626578,220.53170216940046,3.557255059433004,crossed,1,gp,equispaced,0,6,0.0010905919998549507,15.0,,,,
5.695987187752927,15.483461986516417,416.47769528247755,92.14482338626578,220.53170216940046,3.557255059433004,crossed,1,gp_oracle,equispaced,0,6,0.0010905919998549507,15.0,,,,
4.461832637324303,13.350567200004743,440.5920864507231,93.4382320559609,221.52930352672666,2.5596537021068,crossed,1,gp,equispaced,0,7,0.0012146549997851253,15.0,,,,
4.461832637324303,13.350567200004743,440.5920864507231,93.4382320559609,221.52930352672666,2.5596537021068,crossed,1,gp_oracle,equispaced,0,7,0.0012146549997851253,15.0,,,,
3.4145938643509064,12.54828799244723,470.65011632970936,97.78702296463567,222.52866023352595,1.5602969953075103,crossed,1,gp,equispaced,0,8,0.001135827000325662,15.0,,,,
