amp_map_pct,peak_mean_pct,peak_max_pct,peak_neartip_pct,dns,dns_err,dns_status,n_cross,rec,strategy,rep,n,t_fit,k1,f_free,g,rank,ell
10.243353981015378,8.792494206123395,142.14938540787054,38.11631682804137,,,no_null,0,fem,equispaced,0,3,0.32381376400007866,1237.4472271496716,62910.529851811036,39810.903233969344,,
8.121439440154676,7.746668323955332,118.40162434564354,30.844169847304826,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,4,0.5861626600001273,1174.8902019909006,62961.13787360787,42948.594117297114,,
7.471981377057609,9.613486926880203,133.3192199931293,34.73646244459994,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,5,0.7322364849999303,1198.390181023231,62945.54834763783,42818.28661462605,,
6.899834138265897,9.048592767250781,120.60643680596979,31.273113073033514,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,6,0.7656372090000332,1169.1228492392588,62970.077163342685,44321.558496898775,,
6.803328804972334,8.710465496714876,119.4531457673059,31.08361689482103,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,7,0.9166707249999035,1167.7621369666417,62970.59341610001,44840.15320545106,,
6.314114464081999,8.554575020094331,117.70870688838886,29.717308547666942,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,8,1.0162785890001942,1153.5377789085805,62986.30246578737,45480.87665596456,,
6.360843094447597,8.417549189614537,107.94011627760088,25.709222292204203,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,10,1.172081611000067,1118.459700893433,63017.6642559613,46320.569364301686,,
6.299463069616179,8.333657558318587,117.17080618654478,32.741434108861014,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,12,1.3694453240000257,1153.5197191507125,62984.854749930564,46483.48353041569,,
6.343718980250891,7.8598413408573125,105.56522187264068,28.663565349576636,223.60567669072418,0.48328053810928395,crossed,1,fem,equispaced,0,16,1.5032077919997846,1122.1245498145515,63009.92406840909,46771.922036120806,,
6.9757566392340085,8.055954361443089,73.36677017099376,15.39722595768894,223.49993325674473,0.5890239720887394,crossed,1,fem,equispaced,0,20,1.6630397659998835,1014.6295486504908,63118.55295961203,46256.49447888734,,
6.052795990000104,8.522160199057673,101.13200353992636,29.545647239997347,224.01212801508277,0.07682921375069895,crossed,1,fem,equispaced,0,30,1.904963177999889,881.8134999094841,63291.60127155118,47152.14607037191,,
5.554703601080086,6.80186160384195,57.45626476051298,20.48332759887316,224.01212801508277,0.07682921375069895,crossed,1,fem,equispaced,0,50,2.3894159499998295,896.3218692199997,63272.14206309385,47454.92206476332,,
10.243353981015378,8.792494206123395,142.14938540787054,38.11631682804137,,,no_null,0,fem,dopt_lowrank,0,3,0.3122465279998323,1237.4472271496716,62910.529851811036,39810.903233969344,,
7.0903796249329325,6.293922413399288,105.50712134111977,27.48505986761159,223.60567669072418,0.48328053810928395,crossed,1,fem,dopt_lowrank,0,4,0.6030149949999668,1146.6982252918867,62989.783822730395,44191.37657582532,,
7.306734426850494,9.609918138408945,133.30907928952405,34.594924891659566,223.60567669072418,0.48328053810928395,crossed,1,fem,dopt_lowrank,0,5,0.7554454240000723,1197.276766801773,62947.33592785301,42914.81376431901,,
8.695681060834923,7.790774194070808,58.8503175634319,9.380004601193802,223.63651852563487,0.45243870319859525,crossed,1,fem,dopt_lowrank,0,6,0.9238004870001078,1075.591782584225,63058.81081429361,40070.53050102916,,
7.293794142251544,5.946607592669653,45.42560757665729,8.040127594865023,223.63651852563487,0.45243870319859525,crossed,1,fem,dopt_lowrank,0,7,1.0471581730000707,1052.871294230115,63084.21821262339,42313.83328647924,,
6.541501653555019,5.487697412704105,41.70759065856818,7.622299320989158,223.63651852563487,0.45243870319859525,crossed,1,fem,dopt_lowrank,0,8,1.2495742440000868,1044.0975184915555,63094.398785221034,43532.37664988831,,
5.900739346750693,4.904382139579977,38.421923547693986,7.395103647957142,223.63651852563487,0.45243870319859525,crossed,1,fem,dopt_lowrank,0,10,1.7360222360000535,1036.0679466561787,63102.67264029974,44872.35769412595,,
8.95334577380898,12.597944741453308,20.060840793367472,8.547149699464294,223.93245327489683,0.1565039539366353,crossed,1,fem,dopt_lowrank,0,12,1.9354330680000658,969.7079417675943,63175.36908476347,41277.21085395294,,
10.05068962701189,15.147678395856373,22.191751950808985,13.07397074603367,224.01212801508277,0.07682921375069895,crossed,1,fem,dopt_lowrank,0,16,1.9032675729999937,925.1252337088379,63231.805864855705,40582.484549568006,,
