below mode 1,below mode 1_cov,mode 1 ridge,mode 1 ridge_cov,mode 1 anti-res,mode 1 anti-res_cov,valley 1-2,valley 1-2_cov,mode 2 ridge,mode 2 ridge_cov,mode 2 flank,mode 2 flank_cov,above mode 2,above mode 2_cov,all,frac3dB,frac6dB,cov_frac,sig,sig_frac3dB,sig_bins,nrmse_cplx,phase_deg,rec,n,ell,k1,f_res
0.18417371696299822,1.0,0.12677420914851562,1.0,0.3331862574916924,1.0,0.4279205430928674,1.0,0.3706670586414788,1.0,0.28304206097562346,1.0,0.4582447046545911,1.0,0.35435522261617014,0.956609375,0.9838307291666667,1.0,0.20027365413101114,0.973718475877193,304,4.89840843321021,1.3524585397834563,gp,5,30.0,,
0.19147522755629034,1.0,0.14550863485922616,1.0,0.32923384636456443,1.0,0.4393609973423097,1.0,0.2970993994732402,1.0,0.25954040110906385,1.0,0.40287880521703,1.0,0.3271266034452007,0.9568815789473685,0.9843868421052632,1.0,0.19573590646120798,0.9762119113573408,304,4.907173776770418,1.396471270088358,gp,6,30.0,,
0.16962677579511903,1.0,0.11938315302848836,1.0,0.3076166379832451,1.0,0.40351399338410315,1.0,0.29901022282616224,1.0,0.24553930313308478,1.0,0.36807779473483737,1.0,0.3014569163600186,0.9634569892473118,0.9872123655913978,1.0,0.18037842921218958,0.9755588568194681,304,4.520299647842414,1.2587737728972612,gp,8,30.0,,
0.16057112279178953,1.0,0.101029082092413,1.0,0.2887492053743187,1.0,0.3867579719100617,1.0,0.19639415300887425,1.0,0.22541346178144384,1.0,0.31037547606440974,1.0,0.265828305068067,0.9639353932584269,0.9869325842696629,1.0,0.1412275607494642,0.9750147841513898,304,4.230771462202756,1.2435878940825096,gp,12,30.0,,
0.15648435196698787,1.0,0.10600746167996983,1.0,0.2776753437540367,1.0,0.3723081931100883,1.0,0.16921856310806205,1.0,0.19859271453946747,1.0,0.2796574088334123,1.0,0.24417104450179594,0.9663518518518519,0.9873425925925926,1.0,0.13270619023621824,0.9752680311890838,304,4.206894667152795,1.1788615433966612,gp,20,30.0,,
0.14930247634173827,1.0,0.09990885710229899,1.0,0.26464113439842374,1.0,0.3637157910466668,1.0,0.15772406101348932,1.0,0.18763227726302883,1.0,0.2715416557523055,1.0,0.23480321677942206,0.9671056338028169,0.9875809859154929,1.0,0.12130203851710834,0.9780392883617495,304,3.7537332407505697,1.130305058958334,gp,30,30.0,,
0.15265075738638773,0.4343065693430657,0.10281923411973937,1.0,0.3230133212002998,1.0,0.7118132392307666,0.5010940919037199,,0.0,,0.0,,0.0,0.2714064719381184,0.9583022078353254,0.9852568891102258,0.251,0.0978923160270716,0.9925491898148148,144,4.028817153985897,1.1136322982850257,eb_gp,5,60.0,393.6140528132719,292772.2306255196
0.15202271800680373,0.4343065693430657,0.12677420914851562,1.0,0.3331862574916924,1.0,0.4738169261974178,0.5010940919037199,,0.0,,0.0,,0.0,0.26571040999125484,0.9559366699867198,0.9830988545816733,0.251,0.12516001932892043,0.9658564814814815,144,2.808595955017462,0.8526615328499999,gp@eb_gp,5,30.0,,
0.13907681389010057,0.4343065693430657,0.08875197422331185,1.0,0.3301599503844882,1.0,0.6597373272741746,0.5010940919037199,,0.0,,0.0,,0.0,0.25953682248114074,0.9581044244076327,0.9851750891172153,0.251,0.08791439184390981,0.9929824561403509,144,3.767126261748755,1.0747371979155917,eb_gp,6,60.0,392.0465912591317,292780.44402698515
0.15767257903429688,0.4343065693430657,0.14550863485922616,1.0,0.32923384636456443,1.0,0.48080619434048316,0.5010940919037199,,0.0,,0.0,,0.0,0.26587132609887754,0.9581044244076327,0.9849024952820298,0.251,0.14198307103278954,0.9725877192982456,144,2.778634068609151,0.8677852579139116,gp@eb_gp,6,30.0,,
0.13074369797273439,0.4343065693430657,0.09608969405076868,1.0,0.30104121376148163,1.0,0.5264182316959388,0.5010940919037199,,0.0,,0.0,,0.0,0.2386236921477971,0.9655999657284839,0.9883048451355867,0.251,0.0904180289955652,0.9946983273596177,144,3.1369041238683035,0.943558239827904,eb_gp,8,30.0,388.31897212947234,292804.6842358165
0.13800498164467417,0.4343065693430657,0.11938315302848836,1.0,0.3076166379832451,1.0,0.43649474053771076,0.5010940919037199,,0.0,,0.0,,0.0,0.24261424875854776,0.9626547573148267,0.9867412072141541,0.251,0.1177503379198627,0.9746117084826762,144,2.685679204935908,0.8252105173587129,gp@eb_gp,8,30.0,,
