IGOR
WAVES	Frequency	Phase	Amp
BEGIN
	254123.12	165.41704	0.00045418739
	254319.95	164.96429	0.00046372414
	254516.8	163.95099	0.00045180321
	254713.64	166.14268	0.00046253204
	254910.48	164.0546	0.00044226646
	255107.31	165.77614	0.00044107437
	255304.16	167.95944	0.00043988228
	255501	163.87978	0.00042915344
	255697.84	164.75848	0.00043869019
	255894.69	169.77539	0.00045657158
	256091.52	166.14268	0.00046253204
	256288.36	166.98288	0.00045418739
	256485.2	165.13834	0.00044107437
	256682.05	166.5284	0.00043988228
	256878.89	168.59877	0.00043988228
	257075.72	166.74197	0.00044584274
	257272.56	166.56447	0.00044107437
	257469.41	165.68407	0.00041365623
	257666.25	165.42578	0.00043034554
	257863.09	165.96375	0.00044226646
	258059.92	165.84659	0.00042319298
	258256.77	165.51024	0.00043749809
	258453.61	166.95976	0.00044822693
	258650.45	166.8517	0.00046610832
	258847.3	170.83763	0.00044822693
	259044.12	166.89473	0.00046253204
	259240.97	165.81406	0.00044226646
	259437.81	166.84045	0.00043392181
	259634.66	165.61859	0.00047922134
	259831.48	163.97412	0.00046610832
	260028.33	168.89212	0.00046372414
	260225.17	167.30864	0.00045537949
	260422.02	168.01047	0.0004529953
	260618.86	165.47661	0.00044107437
	260815.69	169.01277	0.00045657158
	261012.53	167.2943	0.00046014786
	261209.38	165.32716	0.00044226646
	261406.22	165.63362	0.00045061111
	261603.06	164.89189	0.00044703484
	261799.89	166.07399	0.00045061111
	261996.73	166.14461	0.00045657158
	262193.56	165.8542	0.0004529953
	262390.41	165.74535	0.00045418739
	262587.25	166.59335	0.00044703484
	262784.09	167.23679	0.00044226646
	262980.94	164.97092	0.00044941902
	263177.78	166.62865	0.00044822693
	263374.62	167.08351	0.00045776367
	263571.47	168.60001	0.00044584274
	263768.31	167.12918	0.00045418739
	263965.16	165.36617	0.00044345856
	264161.97	165.92398	0.00041604042
	264358.81	168.82785	0.00048518181
	264555.66	169.89069	0.00046849251
	264752.5	167.65167	0.00045061111
	264949.34	169.01712	0.00044941902
	265146.19	167.69945	0.0004863739
	265343.03	167.56906	0.0004529953
	265539.88	166.40903	0.00044584274
	265736.72	168.66061	0.00045418739
	265933.56	169.70804	0.00047326088
	266130.38	171.2422	0.00044584274
	266327.22	166.35988	0.00045895576
	266524.06	164.07555	0.00044703484
	266720.91	166.53278	0.00046491623
	266917.75	165.8876	0.00043511391
	267114.59	168.69005	0.00047922134
	267311.44	169.99202	0.00045180321
	267508.28	167.51973	0.00045776367
	267705.12	169.81685	0.00045061111
	267901.94	168.4334	0.0004696846
	268098.78	167.61922	0.00044941902
	268295.62	170.05942	0.00046849251
	268492.47	167.17558	0.00045061111
	268689.31	166.25404	0.00045537949
	268886.16	171.89067	0.00046372414
	269083	170.80472	0.00046133995
	269279.84	168.77528	0.00047087669
	269476.69	166.35988	0.00045776367
	269673.53	168.74931	0.00045180321
	269870.34	170.21758	0.00045537949
	270067.19	168.18198	0.00044703484
	270264.03	169.55516	0.00047922134
	270460.88	168.15791	0.0004529953
	270657.72	166.43967	0.00045180321
	270854.56	167.53824	0.00043988228
	271051.41	166.39026	0.00046491623
	271248.25	166.83675	0.00045537949
	271445.09	168.6347	0.00048279762
	271641.91	167.03857	0.00046133995
	271838.75	169.82448	0.00042438507
	272035.59	170.34319	0.00046133995
	272232.44	165.82341	0.00047206879
	272429.28	168.14165	0.00046372414
	272626.12	167.40508	0.00044822693
	272822.97	169.37143	0.00047087669
	273019.81	168.29099	0.0004696846
	273216.66	168.69005	0.00044941902
	273413.5	168.37064	0.00046014786
	273610.31	169.30974	0.00047445297
	273807.16	167.78152	0.00050067902
	274004	167.70065	0.0004196167
	274200.84	168.83904	0.00044941902
	274397.69	171.11934	0.00046253204
	274594.53	169.34314	0.00045061111
	274791.38	169.4608	0.00046849251
	274988.22	171.82875	0.00046849251
	275185.06	167.81972	0.00044584274
	275381.88	168.66174	0.00047206879
	275578.72	168.43666	0.00047564507
	275775.56	168.26141	0.00046849251
	275972.41	168.00664	0.0004696846
	276169.25	168.74852	0.00045776367
	276366.09	168.80489	0.00046610832
	276562.94	167.88474	0.00046491623
	276759.78	169.14751	0.00046849251
	276956.62	167.79172	0.00046133995
	277153.47	167.42107	0.00044226646
	277350.28	172.35785	0.00047445297
	277547.12	169.87532	0.00047445297
	277743.97	171.99086	0.00047802925
	277940.81	169.63197	0.00048279762
	278137.66	167.98553	0.00047445297
	278334.5	170.19389	0.00048995018
	278531.34	169.72128	0.00046730042
	278728.19	168.34969	0.00047206879
	278925.03	169.11998	0.00046730042
	279121.88	168.45949	0.00046372414
	279318.69	169.31509	0.00044941902
	279515.53	167.78848	0.00048995018
	279712.38	166.14268	0.00046372414
	279909.22	170.25635	0.00047802925
	280106.06	167.67889	0.00046253204
	280302.91	171.04942	0.00048160553
	280499.75	169.90056	0.00047564507
	280696.59	168.28752	0.00049829483
	280893.44	166.77615	0.00046849251
	281090.25	167.53506	0.00046372414
	281287.09	168.25002	0.00045657158
	281483.94	166.88495	0.00046730042
	281680.78	169.65733	0.00048398972
	281877.62	170.3401	0.00045418739
	282074.47	168.30589	0.00048756599
	282271.31	169.14165	0.00047445297
	282468.16	170.34619	0.00046849251
	282665	169.14751	0.00046849251
	282861.84	169.03661	0.00046372414
	283058.66	168.32628	0.00044107437
	283255.5	169.2157	0.00045776367
	283452.34	170.04936	0.00048279762
	283649.19	171.29636	0.00048756599
	283846.03	171.07359	0.00046014786
	284042.88	170.65184	0.00049114227
	284239.72	171.427	0.00047922134
	284436.56	170.19389	0.00048995018
	284633.41	171.36285	0.00047564507
	284830.22	171.70584	0.00047087669
	285027.06	167.03857	0.00046133995
	285223.91	168.57738	0.00047445297
	285420.75	170.28796	0.00049352646
	285617.59	169.68221	0.00047206879
	285814.44	170.27242	0.00050783157
	286011.28	169.82094	0.00048518181
	286208.12	167.22691	0.00048518181
	286404.97	170.67851	0.00047802925
	286601.81	166.42955	0.00046133995
	286798.62	168.88205	0.00048756599
	286995.47	168.44298	0.00048756599
	287192.31	170.68068	0.00047206879
	287389.16	170.71907	0.00049471855
	287586	169.83925	0.00046610832
	287782.84	169.86574	0.00050067902
	287979.69	170.46887	0.00048875809
	288176.53	172.22163	0.00046610832
	288373.38	169.61818	0.00047564507
	288570.22	169.38875	0.00049829483
	288767.03	171.13663	0.0004863739
	288963.88	170.18341	0.00047445297
	289160.72	173.53592	0.0004863739
	289357.56	170.35469	0.00048995018
	289554.41	172.16574	0.00048875809
	289751.25	171.26401	0.00050902367
	289948.09	170.74736	0.00048160553
	290144.94	168.71788	0.00048041344
	290341.78	172.10422	0.00049352646
	290538.59	171.26466	0.00047802925
	290735.44	175.60129	0.00048160553
	290932.28	170.32173	0.00046730042
	291129.12	172.68352	0.0004863739
	291325.97	170.88213	0.00048875809
	291522.81	173.37065	0.00049471855
	291719.66	171.00517	0.00047922134
	291916.5	171.48344	0.00047445297
	292113.34	170.24117	0.00049114227
	292310.19	170.17548	0.00049591064
	292507	170.08725	0.00049829483
	292703.84	170.30437	0.00048041344
	292900.69	172.75432	0.00049114227
	293097.53	169.56976	0.0004863739
	293294.38	169.51344	0.00050425529
	293491.22	170.0806	0.00049114227
	293688.06	172.06952	0.00048279762
	293884.91	168.18501	0.00047683716
	294081.75	168.93573	0.00048995018
	294278.56	171.51105	0.00048398972
	294475.41	168.90364	0.00050067902
	294672.25	170.3112	0.00049471855
	294869.09	168.24266	0.00050783157
	295065.94	170.51451	0.00048398972
	295262.78	173.30641	0.00048995018
	295459.62	170.46985	0.00049591064
	295656.47	170.40108	0.00049233437
	295853.31	172.95876	0.00050544739
	296050.16	171.60269	0.00050544739
	296246.97	169.82788	0.00050663948
	296443.81	167.61604	0.00051021576
	296640.66	168.71593	0.00051736832
	296837.5	173.21101	0.0005030632
	297034.34	172.67735	0.00051379204
	297231.19	171.39278	0.00048518181
	297428.03	171.12341	0.00051736832
	297624.88	172.52184	0.0005030632
	297821.72	169.01527	0.00049352646
	298018.53	173.84738	0.00052213669
	298215.38	171.2433	0.00049233437
	298412.22	174.15436	0.0005030632
	298609.06	170.85065	0.00050187111
	298805.91	171.75366	0.00049829483
	299002.75	172.97525	0.00050663948
	299199.59	171.16116	0.00050425529
	299396.44	170.89886	0.00049710274
	299593.28	174.48969	0.00050783157
	299790.12	171.35612	0.00050663948
	299986.94	173.4071	0.00047683716
	300183.78	173.12518	0.00050783157
	300380.62	172.41411	0.00051379204
	300577.47	172.25839	0.0005209446
	300774.31	174.08925	0.00050902367
	300971.16	168.31061	0.00049352646
	301168	171.7556	0.00050663948
	301364.84	172.32552	0.00050902367
	301561.69	173.8298	0.00048756599
	301758.53	171.86989	0.00052213669
	301955.34	171.13536	0.00052571297
	302152.19	171.02737	0.00052690506
	302349.03	174.70038	0.00052809715
	302545.88	171.2637	0.00052571297
	302742.72	173.27509	0.00052928925
	302939.56	172.25839	0.0005209446
	303136.41	173.25871	0.00050663948
	303333.25	171.41876	0.00053524971
	303530.09	171.74838	0.00055551529
	303726.91	172.54568	0.00051379204
	303923.75	172.09282	0.0005197525
	304120.59	173.30516	0.00053167343
	304317.44	170.84184	0.00051617622
	304514.28	172.93852	0.00053286552
	304711.12	174.95753	0.00052809715
	304907.97	172.51111	0.00051140785
	305104.81	170.72484	0.00053882599
	305301.66	171.13879	0.00054121017
	305498.5	172.29347	0.00052332878
	305695.31	172.7197	0.00054478645
	305892.16	171.81496	0.00052690506
	306089	172.07811	0.00051021576
	306285.84	172.71104	0.00051617622
	306482.69	172.44753	0.00053405762
	306679.53	172.76306	0.00052928925
	306876.38	173.48367	0.00055670738
	307073.22	174.45224	0.00054240227
	307270.06	173.84738	0.00052213669
	307466.88	171.86989	0.00052213669
	307663.72	173.70229	0.00053286552
	307860.56	171.58232	0.0005364418
	308057.41	173.48395	0.00051379204
	308254.25	172.46632	0.00051736832
	308451.09	173.73177	0.00052332878
	308647.94	171.57301	0.0005531311
	308844.78	172.57941	0.00054359436
	309041.62	173.57306	0.0005209446
	309238.47	172.92189	0.00054121017
	309435.28	171.86989	0.00055551529
	309632.12	170.644	0.00052690506
	309828.97	173.91469	0.00056147575
	310025.81	173.44743	0.00053167343
	310222.66	169.32666	0.00054597855
	310419.5	172.66812	0.00053167343
	310616.34	171.94316	0.00052690506
	310813.19	172.90578	0.00054955482
	311010.03	173.88005	0.00054717064
	311206.88	175.04153	0.00052332878
	311403.69	173.44743	0.00053167343
	311600.53	173.59444	0.00057697296
	311797.38	174.49597	0.00055909157
	311994.22	174.01599	0.0005710125
	312191.06	173.94034	0.00056385994
	312387.91	173.02901	0.00054955482
	312584.75	171.41406	0.00055074692
	312781.59	174.95032	0.0005543232
	312978.44	174.119	0.00055789948
	313175.25	171.18805	0.00055193901
	313372.09	174.27756	0.00057339668
	313568.94	171.42575	0.00054359436
	313765.78	172.85947	0.00054597855
	313962.62	173.46594	0.00054359436
	314159.47	174.09798	0.00056743622
	314356.31	172.16336	0.00055909157
	314553.16	173.8717	0.00056862831
	314750	173.20827	0.00058412552
	314946.84	176.65535	0.00055074692
	315143.66	174.96489	0.00054240227
